,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
la01,625,627,735,618,623,627
la02,687,571,684,576,617,603
la03,564,535,630,527,524,518
la04,613,548,680,579,548,536
la05,686,475,523,486,501,505
la06,1100,823,859,829,831,899
la07,942,780,943,772,783,816
la08,898,815,857,791,846,810
la09,933,874,902,897,907,894
la10,913,812,962,891,852,854
la11,1181,1102,1167,1114,1135,1107
la12,1007,950,989,984,982,952
la13,1167,1049,1159,1065,1067,1080
la14,1313,1086,1259,1170,1103,1116
la15,1138,1100,1215,1155,1142,1115
la16,751,767,776,789,767,747
la17,704,682,708,683,668,663
la18,667,671,663,675,667,673
la19,650,680,655,701,634,656
la20,811,762,771,787,756,757
la21,986,832,1004,867,847,881
la22,848,783,814,785,769,802
la23,989,855,963,863,876,917
la24,1086,806,877,853,811,888
la25,1013,776,868,832,824,940
la26,1214,1069,1295,1123,1121,1114
la27,1384,1116,1212,1141,1150,1157
la28,1393,1085,1333,1098,1122,1112
la29,1435,1043,1222,1042,1036,1073
la30,1448,1094,1214,1103,1111,1149
la31,1845,1530,1636,1582,1568,1587
la32,2106,1675,1817,1747,1751,1808
la33,1614,1516,1666,1543,1541,1555
la34,1682,1558,1689,1558,1591,1602
la35,1764,1561,1689,1604,1625,1596
la36,978,966,994,990,982,992
la37,1053,1020,1013,1040,1029,1043
la38,962,978,951,991,949,949
la39,1008,978,1000,960,962,975
la40,1013,956,988,971,964,979
